TREE_NAME,PATCH_DISTURB,TREE_HEALTH,P_CINNAM,P_MULTI,P_CRYP,P_OHIO,P_ELONG
BG2.1,1,0,0,0,0,0,1
BG2.2,1,1,0,1,0,0,0
BG2.3,1,1,0,0,0,0,1
BG2.4,1,0,0,1,0,0,0
BG2.5,1,1,1,0,0,0,0
BG2.6,1,0,0,1,0,0,0
BG2.7,1,1,0,0,0,0,1
BG2.8,1,1,0,1,0,0,0
BG2.9,1,0,0,1,0,0,0
BG2.10,1,0,0,1,0,0,0
BSF1,0,0,1,0,0,0,0
BSF2,0,0,0,1,0,0,0
BSF3,0,0,1,0,0,0,0
BSF4,0,0,1,0,0,0,0
BSF5,0,1,0,1,0,0,0
BSF7,0,1,0,1,0,0,0
BSF8,0,0,1,0,0,0,0
BSF9,0,1,1,0,0,0,0
BSF10,0,1,0,1,0,0,0
MJ1,1,1,1,0,0,0,0
MJ2,1,1,0,1,0,0,0
MJ3,1,1,0,0,0,1,0
MJ4,1,0,0,0,0,1,0
MJ5,1,0,0,0,0,1,0
MJ6,1,1,0,1,0,0,0
MJ7,1,0,0,0,0,1,0
MJ8,1,1,1,0,0,0,0
MJ9,1,0,0,0,0,1,0
MJ10,1,0,0,1,0,0,0
PSF1,0,0,1,0,0,0,0
PSF4,0,1,0,1,0,0,0
PSF6,0,1,0,1,0,0,0
TRH1,1,0,0,1,0,0,0
TRC1,1,1,1,0,0,0,0
TRH2,1,0,1,0,0,0,0
TRC2,1,1,0,1,0,0,0
TRH3,1,0,0,1,0,0,0
TRC3,1,1,1,0,0,0,0
TRH4,1,0,0,1,0,0,0
TRC4,1,1,0,1,0,0,0
TRH5,1,0,0,1,0,0,0
TRC5,1,1,1,0,0,0,0
TSFC1,0,1,1,0,0,0,0
TSFH2,0,0,0,1,0,0,0
TSFH3,0,0,1,0,0,0,0
TSFC3,0,1,1,0,0,0,0
TSFH4,0,0,1,0,0,0,0
TSFC4,0,1,1,0,0,0,0
TSFH5,0,0,0,1,0,0,0
MHC1,1,1,0,1,0,0,0
MHH2,1,0,1,0,0,0,0
MHC2,1,1,0,1,0,0,0
MHH3,1,0,1,0,0,0,0
MHC3,1,1,1,0,0,0,0
MHC4,1,1,0,1,0,0,0
MHH5,1,0,1,0,0,0,0
MHC5,1,1,0,1,0,0,0
MSFH1,0,0,0,1,0,0,0
MSFH2,0,0,1,0,0,0,0
MSFC2,0,1,1,0,0,0,0
MSFH3,0,0,0,1,0,0,0
MSFC3,0,1,0,1,0,0,0
MSFC4,0,1,1,0,0,0,0
MSFH5,0,0,1,0,0,0,0
